dataset,series,window_type,fold,model,family,train_size,test_start_date,test_end_date,horizon,fit_seconds,error,mae,rmse,wape,mase,mase_undefined_reason,mape,smape,actual_sum,actual_mean,all_zero_window,coverage,interval_width,width_pct_of_mean,pinball_lower,pinball_upper,pinball_mean,crossed_bounds_repaired,interval,order,seasonal_order,aic,bic,ljung_box_p,residuals_white_noise,lambda,ets_config,sp,n_train_rows,margin_h1,margin_hmax
workforce,workforce,rolling,2,lgbm_quantile,ml,365,2025-04-24,2025-05-07,14,2.652106499997899,,5.498537808457259,8.023364481403725,6.173177972606386,1.1930160820773932,,6.262818215427704,5.9754093596408335,1247.0,89.07142857142857,False,0.6428571428571429,15.991387267373474,17.953442000258914,2.105964380011579,0.6804145943717254,1.3931894871916521,0,quantile objective (alpha=0.05/0.95),,,,,,,-0.17499999999999993,,,4627.0,,
workforce,workforce,rolling,3,lgbm_quantile,ml,365,2025-05-08,2025-05-21,14,2.6495332000777125,,8.943771896561492,10.831737229187453,10.305580786161391,1.8979670059093148,,10.432971344427532,9.674712657050597,1215.0,86.78571428571429,False,0.21428571428571427,5.225506376254594,6.0211596104991205,7.996080011487441,0.6559250962352071,4.326002553861324,1,quantile objective (alpha=0.05/0.95),,,,,,,-0.16249999999999998,,,4627.0,,
workforce,workforce,rolling,4,lgbm_quantile,ml,365,2025-05-22,2025-06-04,14,2.711118199978955,,5.373080179945556,6.821866263046859,6.170887819461672,1.1080430325002932,,6.418461353905531,6.649782979516419,1219.0,87.07142857142857,False,0.7857142857142857,11.193746981688134,12.85582097978949,0.258216941248966,1.219643366058252,0.738930153653609,0,quantile objective (alpha=0.05/0.95),,,,,,,-0.1499999999999999,,,4627.0,,
workforce,workforce,rolling,5,lgbm_quantile,ml,365,2025-06-05,2025-06-18,14,2.629304000060074,,5.632889176780578,7.6574723835386935,6.375137305976401,1.1477372369308179,,6.328850931655442,6.322838230116655,1237.0,88.35714285714286,False,0.5,8.003554482799727,9.05818615676606,1.1664608764170457,1.5573916650536932,1.3619262707353694,0,quantile objective (alpha=0.05/0.95),,,,,,,-0.09999999999999998,,,4627.0,,
workforce,workforce,rolling,6,lgbm_quantile,ml,365,2025-06-19,2025-07-02,14,2.6579506000271067,,8.303978568467453,10.017394244077261,9.623816221733803,1.6626534270197697,,9.652924315149725,9.086895330797992,1208.0,86.28571428571429,False,0.2857142857142857,18.083495536749524,20.957693502855406,2.228758727973209,0.9402847130977194,1.5845217205354643,0,quantile objective (alpha=0.05/0.95),,,,,,,-0.11249999999999993,,,4627.0,,
workforce,workforce,rolling,7,lgbm_quantile,ml,365,2025-07-03,2025-07-16,14,3.0022855999413878,,6.141035146712826,7.101339597870131,7.047089512621277,1.220705487242194,,7.390690814099536,7.416446442846112,1220.0,87.14285714285714,False,0.21428571428571427,8.081752424008744,9.274142125911675,1.3753224008684388,0.9369212909444532,1.156121845906446,0,quantile objective (alpha=0.05/0.95),,,,,,,-0.09999999999999998,,,4627.0,,
workforce,workforce,rolling,8,lgbm_quantile,ml,365,2025-07-17,2025-07-30,14,3.0275410999311134,,4.934302068998273,5.527796329756701,5.447967584067494,0.96793432367199,,5.64318692583403,5.832976300037334,1268.0,90.57142857142857,False,0.7142857142857143,9.343242156023374,10.315882506650413,0.4318854437760344,0.8212725881703439,0.6265790159731891,0,quantile objective (alpha=0.05/0.95),,,,,,,-0.08749999999999991,,,4627.0,,
workforce,workforce,rolling,9,lgbm_quantile,ml,365,2025-07-31,2025-08-13,14,3.015284899971448,,4.407828529732958,5.407117985422842,5.02521167884865,0.87182464842232,,5.317450171774462,5.213956350540118,1228.0,87.71428571428571,False,0.42857142857142855,6.411024612978617,7.308985715122201,2.1010830495551214,0.5275889175978828,1.314335983576502,0,quantile objective (alpha=0.05/0.95),,,,,,,-0.0625,,,4627.0,,
workforce,workforce,rolling,10,lgbm_quantile,ml,365,2025-08-14,2025-08-27,14,3.0200561999808997,,4.795053787552258,6.366930789872401,5.426900002080163,0.9390750853083745,,5.317656546140851,5.188607361091494,1237.0,88.35714285714286,False,0.35714285714285715,6.873949964417262,7.779733185274185,1.470679441117804,1.3135111475157333,1.3920952943167686,2,quantile objective (alpha=0.05/0.95),,,,,,,-0.04999999999999993,,,4627.0,,
workforce,workforce,rolling,11,lgbm_quantile,ml,365,2025-08-28,2025-09-10,14,3.1028044999111444,,5.315121998148319,5.781333986231814,6.079387906378797,1.008380326092792,,7.534294030460496,7.257094860809541,1224.0,87.42857142857143,False,0.5714285714285714,11.402748659349966,13.042359577687868,1.2683027404588965,0.49244119451218105,0.8803719674855388,0,quantile objective (alpha=0.05/0.95),,,,,,,-0.0625,,,4627.0,,
